iter	Passed	Remaining
619	15489	9493
620	15511	9466
621	15535	9441
622	15558	9415
623	15582	9389
624	15605	9363
625	15632	9339
626	15656	9314
627	15680	9288
628	15703	9262
629	15728	9237
630	15751	9211
631	15776	9186
632	15800	9160
633	15824	9135
634	15846	9108
635	15880	9089
636	15905	9064
637	15929	9038
638	15952	9012
639	15976	8986
640	16001	8961
641	16024	8935
642	16048	8910
643	16072	8884
644	16095	8858
645	16121	8834
646	16146	8809
647	16171	8784
648	16194	8758
649	16219	8733
650	16241	8707
651	16265	8681
652	16291	8657
653	16320	8634
654	16342	8608
655	16369	8584
656	16396	8560
657	16421	8535
658	16445	8509
659	16468	8483
660	16493	8458
661	16518	8433
662	16542	8408
663	16565	8382
664	16590	8357
665	16618	8334
666	16644	8309
667	16672	8286
668	16699	8262
669	16728	8239
670	16754	8215
671	16781	8190
672	16807	8166
673	16833	8141
674	16872	8123
675	16906	8103
676	16955	8089
677	16991	8069
678	17022	8047
679	17048	8022
680	17076	7999
681	17101	7974
682	17129	7950
683	17153	7924
684	17176	7898
685	17200	7873
686	17224	7847
687	17250	7822
688	17275	7797
689	17299	7772
690	17323	7746
691	17346	7720
692	17373	7696
693	17398	7671
694	17426	7647
695	17454	7623
696	17480	7598
697	17504	7573
698	17530	7548
699	17552	7522
700	17576	7496
701	17603	7472
702	17627	7447
703	17653	7422
704	17676	7396
705	17702	7371
706	17724	7345
707	17749	7320
708	17773	7294
709	17796	7269
710	17822	7244
711	17848	7219
712	17874	7195
713	17900	7170
714	17926	7145
715	17950	7119
716	17980	7096
717	18003	7070
718	18026	7045
719	18049	7019
720	18074	6994
721	18101	6969
722	18124	6943
723	18149	6918
724	18173	6893
725	18199	6868
726	18222	6842
727	18248	6818
728	18273	6792
729	18304	6770
730	18326	6744
731	18354	6719
732	18378	6694
733	18402	6669
734	18426	6643
735	18451	6618
736	18475	6593
737	18501	6568
738	18526	6543
739	18548	6517
740	18572	6491
741	18598	6466
742	18622	6441
743	18644	6415
744	18673	6391
745	18698	6366
746	18721	6340
747	18743	6314
748	18768	6289
749	18791	6263
750	18816	6238
751	18847	6215
752	18871	6190
753	18896	6165
754	18919	6139
755	18943	6114
756	18966	6088
757	18990	6063
758	19017	6038
759	19043	6013
760	19067	5988
761	19100	5965
762	19124	5940
763	19149	5915
764	19174	5890
765	19197	5864
766	19221	5839
767	19245	5813
768	19269	5788
769	19294	5763
770	19316	5737
771	19343	5712
772	19366	5687
773	19389	5661
774	19414	5636
775	19440	5611
776	19462	5585
777	19486	5560
778	19509	5534
779	19533	5509
780	19559	5484
781	19586	5460
782	19611	5435
783	19634	5409
784	19659	5384
785	19683	5358
786	19708	5333
787	19730	5308
788	19753	5282
789	19776	5257
790	19799	5231
791	19828	5207
792	19854	5182
793	19878	5157
794	19902	5132
795	19926	5106
796	19949	5081
797	19973	5056
798	19998	5031
799	20021	5005
